[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:44:07] Epoch: 70/300 Loss: 0.6545/0.4485/1.1029 F-score cur/max: 0.5712/0.6293
[2023/12/18 08:44:08] Epoch: 71/300 Loss: 0.6538/0.4619/1.1157 F-score cur/max: 0.5945/0.6293
[2023/12/18 08:44:09] Epoch: 72/300 Loss: 0.6525/0.4598/1.1122 F-score cur/max: 0.5761/0.6293
[2023/12/18 08:44:10] Epoch: 73/300 Loss: 0.6376/0.4371/1.0748 F-score cur/max: 0.5726/0.6293
[2023/12/18 08:44:11] Epoch: 74/300 Loss: 0.6349/0.4377/1.0727 F-score cur/max: 0.5346/0.6293
[2023/12/18 08:44:12] Epoch: 75/300 Loss: 0.6439/0.4406/1.0845 F-score cur/max: 0.5797/0.6293
[2023/12/18 08:44:13] Epoch: 76/300 Loss: 0.6267/0.4207/1.0474 F-score cur/max: 0.5826/0.6293
[2023/12/18 08:44:15] Epoch: 77/300 Loss: 0.6552/0.4437/1.0990 F-score cur/max: 0.6197/0.6293
[2023/12/18 08:44:16] Epoch: 78/300 Loss: 0.6397/0.4402/1.0799 F-score cur/max: 0.5995/0.6293
[2023/12/18 08:44:17] Epoch: 79/300 Loss: 0.6456/0.4235/1.0690 F-score cur/max: 0.5475/0.6293
[2023/12/18 08:44:18] Epoch: 80/300 Loss: 0.6284/0.4309/1.0593 F-score cur/max: 0.5789/0.6293
[2023/12/18 08:44:19] Epoch: 81/300 Loss: 0.6447/0.4199/1.0646 F-score cur/max: 0.5805/0.6293
[2023/12/18 08:44:20] Epoch: 82/300 Loss: 0.6252/0.4154/1.0406 F-score cur/max: 0.6055/0.6293
[2023/12/18 08:44:21] Epoch: 83/300 Loss: 0.6264/0.4081/1.0345 F-score cur/max: 0.5970/0.6293
[2023/12/18 08:44:22] Epoch: 84/300 Loss: 0.6194/0.4071/1.0265 F-score cur/max: 0.5797/0.6293
[2023/12/18 08:44:23] Epoch: 85/300 Loss: 0.6208/0.4156/1.0364 F-score cur/max: 0.5726/0.6293
[2023/12/18 08:44:24] Epoch: 86/300 Loss: 0.6182/0.4065/1.0247 F-score cur/max: 0.5819/0.6293
[2023/12/18 08:44:25] Epoch: 87/300 Loss: 0.6009/0.3997/1.0006 F-score cur/max: 0.6013/0.6293
[2023/12/18 08:44:26] Epoch: 88/300 Loss: 0.6171/0.3879/1.0051 F-score cur/max: 0.5932/0.6293
