[2023/12/18 02:35:23] {'model': 'anchor-free', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/af_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.4, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 02:35:23] Start training on tvsum: split 0
[2023/12/18 02:36:25] Epoch: 82/300 Loss: 0.2555/0.5461/0.5914/1.3930 F-score cur/max: 0.4915/0.6124
[2023/12/18 02:36:25] Epoch: 83/300 Loss: 0.2498/0.5469/0.5915/1.3882 F-score cur/max: 0.5100/0.6124
[2023/12/18 02:36:26] Epoch: 84/300 Loss: 0.2495/0.5414/0.5900/1.3809 F-score cur/max: 0.4976/0.6124
[2023/12/18 02:36:27] Epoch: 85/300 Loss: 0.2450/0.5317/0.5908/1.3676 F-score cur/max: 0.4847/0.6124
[2023/12/18 02:36:27] Epoch: 86/300 Loss: 0.2487/0.5479/0.5889/1.3855 F-score cur/max: 0.5059/0.6124
[2023/12/18 02:36:28] Epoch: 87/300 Loss: 0.2389/0.5385/0.5891/1.3665 F-score cur/max: 0.4719/0.6124
[2023/12/18 02:36:29] Epoch: 88/300 Loss: 0.2419/0.5404/0.5883/1.3706 F-score cur/max: 0.4841/0.6124
[2023/12/18 02:36:29] Epoch: 89/300 Loss: 0.2390/0.5363/0.5882/1.3635 F-score cur/max: 0.4850/0.6124
[2023/12/18 02:36:30] Epoch: 90/300 Loss: 0.2367/0.5299/0.5808/1.3474 F-score cur/max: 0.4972/0.6124
[2023/12/18 02:36:31] Epoch: 91/300 Loss: 0.2363/0.5308/0.5893/1.3564 F-score cur/max: 0.4923/0.6124
[2023/12/18 02:36:31] Epoch: 92/300 Loss: 0.2349/0.5286/0.5840/1.3475 F-score cur/max: 0.4838/0.6124
[2023/12/18 02:36:32] Epoch: 93/300 Loss: 0.2305/0.5232/0.5886/1.3423 F-score cur/max: 0.4726/0.6124
[2023/12/18 02:36:33] Epoch: 94/300 Loss: 0.2361/0.5195/0.5852/1.3408 F-score cur/max: 0.4865/0.6124
[2023/12/18 02:36:33] Epoch: 95/300 Loss: 0.2288/0.5290/0.5799/1.3378 F-score cur/max: 0.4873/0.6124
[2023/12/18 02:36:34] Epoch: 96/300 Loss: 0.2257/0.5254/0.5834/1.3345 F-score cur/max: 0.4886/0.6124
[2023/12/18 02:36:35] Epoch: 97/300 Loss: 0.2270/0.5251/0.5814/1.3335 F-score cur/max: 0.4928/0.6124
[2023/12/18 02:36:35] Epoch: 98/300 Loss: 0.2250/0.5187/0.5792/1.3230 F-score cur/max: 0.4695/0.6124
[2023/12/18 02:36:36] Epoch: 99/300 Loss: 0.2141/0.5202/0.5829/1.3172 F-score cur/max: 0.4778/0.6124
[2023/12/18 02:36:37] Epoch: 100/300 Loss: 0.2186/0.5230/0.5811/1.3228 F-score cur/max: 0.4779/0.6124
[2023/12/18 02:36:37] Epoch: 101/300 Loss: 0.2184/0.5244/0.5807/1.3234 F-score cur/max: 0.4702/0.6124
[2023/12/18 02:36:38] Epoch: 102/300 Loss: 0.2128/0.5189/0.5804/1.3121 F-score cur/max: 0.4784/0.6124
[2023/12/18 02:36:39] Epoch: 103/300 Loss: 0.2184/0.5142/0.5791/1.3117 F-score cur/max: 0.4552/0.6124
[2023/12/18 02:36:39] Epoch: 104/300 Loss: 0.2139/0.5123/0.5778/1.3039 F-score cur/max: 0.4576/0.6124
[2023/12/18 02:36:40] Epoch: 105/300 Loss: 0.2142/0.5082/0.5782/1.3005 F-score cur/max: 0.4766/0.6124
[2023/12/18 02:36:41] Epoch: 106/300 Loss: 0.2116/0.5034/0.5759/1.2910 F-score cur/max: 0.4746/0.6124
[2023/12/18 02:36:41] Epoch: 107/300 Loss: 0.2094/0.5057/0.5745/1.2896 F-score cur/max: 0.4858/0.6124
[2023/12/18 02:36:42] Epoch: 108/300 Loss: 0.2087/0.5088/0.5767/1.2943 F-score cur/max: 0.4803/0.6124
[2023/12/18 02:36:43] Epoch: 109/300 Loss: 0.2103/0.5091/0.5754/1.2949 F-score cur/max: 0.4625/0.6124
[2023/12/18 02:36:43] Epoch: 110/300 Loss: 0.2001/0.5022/0.5751/1.2774 F-score cur/max: 0.4910/0.6124
[2023/12/18 02:36:44] Epoch: 111/300 Loss: 0.1970/0.5037/0.5722/1.2729 F-score cur/max: 0.4766/0.6124
[2023/12/18 02:36:45] Epoch: 112/300 Loss: 0.2018/0.5027/0.5767/1.2812 F-score cur/max: 0.4760/0.6124
[2023/12/18 02:36:45] Epoch: 113/300 Loss: 0.1959/0.4983/0.5693/1.2636 F-score cur/max: 0.4440/0.6124
[2023/12/18 02:36:46] Epoch: 114/300 Loss: 0.2023/0.4974/0.5688/1.2686 F-score cur/max: 0.4893/0.6124
[2023/12/18 02:36:47] Epoch: 115/300 Loss: 0.1990/0.5182/0.5754/1.2926 F-score cur/max: 0.4832/0.6124
[2023/12/18 02:36:47] Epoch: 116/300 Loss: 0.1986/0.5009/0.5717/1.2713 F-score cur/max: 0.4895/0.6124
[2023/12/18 02:36:48] Epoch: 117/300 Loss: 0.1997/0.5002/0.5714/1.2713 F-score cur/max: 0.4723/0.6124
[2023/12/18 02:36:49] Epoch: 118/300 Loss: 0.2010/0.5009/0.5746/1.2766 F-score cur/max: 0.4758/0.6124
[2023/12/18 02:36:49] Epoch: 119/300 Loss: 0.1955/0.5042/0.5707/1.2703 F-score cur/max: 0.4720/0.6124
[2023/12/18 02:36:50] Epoch: 120/300 Loss: 0.1920/0.4967/0.5630/1.2517 F-score cur/max: 0.4697/0.6124
[2023/12/18 02:36:51] Epoch: 121/300 Loss: 0.1920/0.4894/0.5691/1.2505 F-score cur/max: 0.4644/0.6124
[2023/12/18 02:36:51] Epoch: 122/300 Loss: 0.1892/0.4972/0.5684/1.2548 F-score cur/max: 0.4816/0.6124
[2023/12/18 02:36:52] Epoch: 123/300 Loss: 0.1880/0.4903/0.5664/1.2448 F-score cur/max: 0.4606/0.6124
[2023/12/18 02:36:53] Epoch: 124/300 Loss: 0.1904/0.4906/0.5678/1.2489 F-score cur/max: 0.4570/0.6124
[2023/12/18 02:36:53] Epoch: 125/300 Loss: 0.1919/0.5007/0.5672/1.2597 F-score cur/max: 0.4590/0.6124
[2023/12/18 02:36:54] Epoch: 126/300 Loss: 0.1796/0.4924/0.5676/1.2397 F-score cur/max: 0.4556/0.6124
[2023/12/18 02:36:55] Epoch: 127/300 Loss: 0.1850/0.4907/0.5634/1.2391 F-score cur/max: 0.4668/0.6124
[2023/12/18 02:36:55] Epoch: 128/300 Loss: 0.1858/0.4870/0.5694/1.2423 F-score cur/max: 0.4682/0.6124
[2023/12/18 02:36:56] Epoch: 129/300 Loss: 0.1908/0.4971/0.5671/1.2550 F-score cur/max: 0.4618/0.6124
[2023/12/18 02:36:57] Epoch: 130/300 Loss: 0.1830/0.4954/0.5655/1.2439 F-score cur/max: 0.4690/0.6124
[2023/12/18 02:36:57] Epoch: 131/300 Loss: 0.1918/0.4925/0.5686/1.2529 F-score cur/max: 0.4555/0.6124
[2023/12/18 02:36:58] Epoch: 132/300 Loss: 0.1871/0.4845/0.5632/1.2349 F-score cur/max: 0.4557/0.6124
[2023/12/18 02:36:59] Epoch: 133/300 Loss: 0.1819/0.4809/0.5618/1.2246 F-score cur/max: 0.4520/0.6124
[2023/12/18 02:36:59] Epoch: 134/300 Loss: 0.1801/0.4886/0.5623/1.2309 F-score cur/max: 0.4759/0.6124
[2023/12/18 02:37:00] Epoch: 135/300 Loss: 0.1741/0.4797/0.5669/1.2206 F-score cur/max: 0.4888/0.6124
[2023/12/18 02:37:01] Epoch: 136/300 Loss: 0.1816/0.4913/0.5610/1.2339 F-score cur/max: 0.4833/0.6124
[2023/12/18 02:37:01] Epoch: 137/300 Loss: 0.1856/0.4807/0.5627/1.2290 F-score cur/max: 0.4828/0.6124
[2023/12/18 02:37:02] Epoch: 138/300 Loss: 0.1798/0.4813/0.5630/1.2240 F-score cur/max: 0.4769/0.6124
[2023/12/18 02:37:03] Epoch: 139/300 Loss: 0.1804/0.4846/0.5651/1.2301 F-score cur/max: 0.4682/0.6124
[2023/12/18 02:37:03] Epoch: 140/300 Loss: 0.1787/0.4802/0.5577/1.2166 F-score cur/max: 0.4487/0.6124
[2023/12/18 02:37:04] Epoch: 141/300 Loss: 0.1720/0.4727/0.5590/1.2037 F-score cur/max: 0.4796/0.6124
[2023/12/18 02:37:05] Epoch: 142/300 Loss: 0.1740/0.4746/0.5653/1.2139 F-score cur/max: 0.4411/0.6124
[2023/12/18 02:37:05] Epoch: 143/300 Loss: 0.1714/0.4822/0.5617/1.2154 F-score cur/max: 0.4601/0.6124
[2023/12/18 02:37:06] Epoch: 144/300 Loss: 0.1685/0.4718/0.5599/1.2002 F-score cur/max: 0.4771/0.6124
[2023/12/18 02:37:07] Epoch: 145/300 Loss: 0.1656/0.4768/0.5541/1.1966 F-score cur/max: 0.4576/0.6124
[2023/12/18 02:37:07] Epoch: 146/300 Loss: 0.1741/0.4783/0.5631/1.2156 F-score cur/max: 0.4505/0.6124
[2023/12/18 02:37:08] Epoch: 147/300 Loss: 0.1734/0.4727/0.5543/1.2004 F-score cur/max: 0.4717/0.6124
[2023/12/18 02:37:09] Epoch: 148/300 Loss: 0.1866/0.4795/0.5558/1.2218 F-score cur/max: 0.4646/0.6124
[2023/12/18 02:37:10] Epoch: 149/300 Loss: 0.1718/0.4672/0.5565/1.1955 F-score cur/max: 0.4522/0.6124
[2023/12/18 02:37:10] Epoch: 150/300 Loss: 0.1652/0.4638/0.5580/1.1870 F-score cur/max: 0.4374/0.6124
[2023/12/18 02:37:11] Epoch: 151/300 Loss: 0.1644/0.4681/0.5593/1.1918 F-score cur/max: 0.4614/0.6124
[2023/12/18 02:37:12] Epoch: 152/300 Loss: 0.1655/0.4764/0.5561/1.1979 F-score cur/max: 0.4586/0.6124
[2023/12/18 02:37:12] Epoch: 153/300 Loss: 0.1594/0.4645/0.5541/1.1780 F-score cur/max: 0.4490/0.6124
[2023/12/18 02:37:13] Epoch: 154/300 Loss: 0.1562/0.4695/0.5568/1.1824 F-score cur/max: 0.4623/0.6124
[2023/12/18 02:37:14] Epoch: 155/300 Loss: 0.1546/0.4698/0.5534/1.1778 F-score cur/max: 0.4573/0.6124
[2023/12/18 02:37:14] Epoch: 156/300 Loss: 0.1614/0.4699/0.5560/1.1873 F-score cur/max: 0.4740/0.6124
[2023/12/18 02:37:15] Epoch: 157/300 Loss: 0.1623/0.4637/0.5511/1.1771 F-score cur/max: 0.4693/0.6124
[2023/12/18 02:37:16] Epoch: 158/300 Loss: 0.1630/0.4674/0.5592/1.1896 F-score cur/max: 0.4414/0.6124
[2023/12/18 02:37:16] Epoch: 159/300 Loss: 0.1613/0.4622/0.5494/1.1729 F-score cur/max: 0.4810/0.6124
[2023/12/18 02:37:17] Epoch: 160/300 Loss: 0.1635/0.4756/0.5526/1.1917 F-score cur/max: 0.4602/0.6124
[2023/12/18 02:37:18] Epoch: 161/300 Loss: 0.1565/0.4656/0.5533/1.1755 F-score cur/max: 0.4750/0.6124
[2023/12/18 02:37:18] Epoch: 162/300 Loss: 0.1580/0.4675/0.5521/1.1775 F-score cur/max: 0.4692/0.6124
[2023/12/18 02:37:19] Epoch: 163/300 Loss: 0.1586/0.4711/0.5501/1.1797 F-score cur/max: 0.4648/0.6124
[2023/12/18 02:37:20] Epoch: 164/300 Loss: 0.1565/0.4658/0.5533/1.1756 F-score cur/max: 0.4447/0.6124
[2023/12/18 02:37:20] Epoch: 165/300 Loss: 0.1633/0.4612/0.5496/1.1742 F-score cur/max: 0.4557/0.6124
[2023/12/18 02:37:21] Epoch: 166/300 Loss: 0.1591/0.4654/0.5548/1.1793 F-score cur/max: 0.4470/0.6124
[2023/12/18 02:37:22] Epoch: 167/300 Loss: 0.1606/0.4693/0.5508/1.1807 F-score cur/max: 0.4659/0.6124
[2023/12/18 02:37:22] Epoch: 168/300 Loss: 0.1594/0.4724/0.5483/1.1801 F-score cur/max: 0.4536/0.6124
[2023/12/18 02:37:23] Epoch: 169/300 Loss: 0.1562/0.4666/0.5492/1.1720 F-score cur/max: 0.4456/0.6124
[2023/12/18 02:37:24] Epoch: 170/300 Loss: 0.1506/0.4608/0.5510/1.1623 F-score cur/max: 0.4687/0.6124
[2023/12/18 02:37:24] Epoch: 171/300 Loss: 0.1551/0.4573/0.5474/1.1598 F-score cur/max: 0.4653/0.6124
[2023/12/18 02:37:25] Epoch: 172/300 Loss: 0.1529/0.4599/0.5498/1.1626 F-score cur/max: 0.4572/0.6124
[2023/12/18 02:37:26] Epoch: 173/300 Loss: 0.1489/0.4594/0.5482/1.1565 F-score cur/max: 0.4630/0.6124
[2023/12/18 02:37:26] Epoch: 174/300 Loss: 0.1423/0.4562/0.5453/1.1439 F-score cur/max: 0.4678/0.6124
[2023/12/18 02:37:27] Epoch: 175/300 Loss: 0.1489/0.4541/0.5507/1.1537 F-score cur/max: 0.4631/0.6124
[2023/12/18 02:37:28] Epoch: 176/300 Loss: 0.1432/0.4502/0.5448/1.1382 F-score cur/max: 0.4788/0.6124
[2023/12/18 02:37:28] Epoch: 177/300 Loss: 0.1451/0.4553/0.5429/1.1433 F-score cur/max: 0.4716/0.6124
[2023/12/18 02:37:29] Epoch: 178/300 Loss: 0.1465/0.4492/0.5434/1.1391 F-score cur/max: 0.4595/0.6124
[2023/12/18 02:37:30] Epoch: 179/300 Loss: 0.1430/0.4542/0.5463/1.1435 F-score cur/max: 0.4653/0.6124
